------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         300   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.0    0.0    0.0    0.0    13.308    3.542    1
0.2056852843    -0.0001227034473    -0.000518748581    0    13.308    3.542    1
0.4113705686    -0.0002454068947    -0.001037497162    0    13.308    3.542    1
0.6170558528    -0.000368110342    -0.001556245743    0    13.308    3.542    1
0.8227411371    -0.0004908137894    -0.002074994324    0    13.308    3.542    1
1.028426421    -0.0006135172367    -0.002593742905    0    13.308    3.542    1
1.234111706    -0.0007362206841    -0.003112491486    0    13.308    3.542    1
1.43979699    -0.001457806979    -0.006163113685    0    13.308    3.550343856    1
1.645482274    -0.003265687733    -0.01380622053    0    13.308    3.573822365    1
1.851167559    -0.005073568488    -0.02144932738    0    13.308    3.597300874    1
2.056852843    -0.006881449242    -0.02909243423    0    13.308    3.620779383    1
2.262538127    -0.008689329997    -0.03673554108    0    13.308    3.644257892    1
2.468223411    -0.01049721075    -0.04437864793    0    13.308    3.667736401    1
2.673908696    -0.01230509151    -0.05202175478    0    13.308    3.69121491    1
2.87959398    -0.01411297226    -0.05966486163    0    13.308    3.714693419    1
3.085279264    -0.01592085301    -0.06730796848    0    13.308    3.738171928    1
3.290964548    -0.01772873377    -0.07495107533    0    13.308    3.761650437    1
3.496649833    -0.01953661452    -0.08259418218    0    13.308    3.785128946    1
3.702335117    -0.02134449528    -0.09023728903    0    13.308    3.808607455    1
3.908020401    -0.02315237603    -0.09788039588    0    13.308    3.832085964    1
4.113705686    -0.02501343439    -0.1057483196    0    13.308    3.855569487    1
4.31939097    -0.02761936716    -0.1167653195    0    13.308    3.879123248    1
4.525076254    -0.03022529992    -0.1277823193    0    13.308    3.902677009    1
4.730761538    -0.03283123269    -0.1387993192    0    13.308    3.926230769    1
4.936446823    -0.03543716546    -0.1498163191    0    13.308    3.94978453    1
5.142132107    -0.03804309823    -0.160833319    0    13.308    3.973338291    1
5.347817391    -0.040649031    -0.1718503189    0    13.308    3.996892051    1
5.553502676    -0.04325496377    -0.1828673188    0    13.308    4.020445812    2
5.75918796    -0.04586089653    -0.1938843187    0    13.308    4.043999572    2
5.964873244    -0.0484668293    -0.2049013185    0    13.308    4.067553333    2
6.170558528    -0.05107276207    -0.2159183184    0    13.308    4.091107094    2
6.376243813    -0.05367869484    -0.2269353183    0    13.308    4.114660854    2
6.581929097    -0.05628462761    -0.2379523182    0    13.308    4.138214615    2
6.787614381    -0.05889056037    -0.2489693181    0    13.308    4.161768376    2
6.993299666    -0.06179311106    -0.2612403182    0    13.308    4.185263198    2
7.19898495    -0.06478035676    -0.2738693802    0    13.308    4.208741192    2
7.404670234    -0.06776760246    -0.2864984422    0    13.308    4.232219186    2
7.610355518    -0.07075484816    -0.2991275042    0    13.308    4.255697179    2
7.816040803    -0.07374209385    -0.3117565663    0    13.308    4.279175173    2
8.021726087    -0.07672933955    -0.3243856283    0    13.308    4.302653166    2
8.227411371    -0.07971658525    -0.3370146903    0    13.308    4.32613116    2
8.433096656    -0.08270383095    -0.3496437523    0    13.308    4.349609154    2
8.63878194    -0.08569107664    -0.3622728143    0    13.308    4.373087147    3
8.844467224    -0.08867832234    -0.3749018763    0    13.308    4.396565141    3
9.050152508    -0.09166556804    -0.3875309383    0    13.308    4.420043135    3
9.255837793    -0.09465281374    -0.4001600003    0    13.308    4.443521128    3
9.461523077    -0.09764005944    -0.4127890623    0    13.308    4.466999122    3
9.667208361    -0.1006273051    -0.4254181243    0    13.308    4.490477116    3
9.872893645    -0.1036145508    -0.4380471863    0    13.308    4.513955109    3
10.07857893    -0.1066017965    -0.4506762483    0    13.308    4.537433103    3
10.28426421    -0.1091469191    -0.4621096184    0    13.29272317    4.557793927    3
10.4899495    -0.1094801358    -0.4675610389    0    13.20101764    4.562559805    3
10.69563478    -0.1098133525    -0.4730124595    0    13.1093121    4.567325684    3
10.90132007    -0.1101465692    -0.4784638801    0    13.01760657    4.572091563    3
11.10700535    -0.1104797858    -0.4839153006    0    12.92590103    4.576857441    3
11.31269064    -0.1108130025    -0.4893667212    0    12.83419549    4.58162332    3
11.51837592    -0.1111462192    -0.4948181418    0    12.74248996    4.586389198    3
11.7240612    -0.1114794359    -0.5002695623    0    12.65078442    4.591155077    3
11.92974649    -0.1118126526    -0.5057209829    0    12.55907888    4.595920955    3
12.13543177    -0.1121458693    -0.5111724035    0    12.46737335    4.600686834    3
12.34111706    -0.1124790859    -0.516623824    0    12.37566781    4.605452712    4
12.54680234    -0.1128123026    -0.5220752446    0    12.28396227    4.610218591    4
12.75248763    -0.1131455193    -0.5275266652    0    12.19225674    4.614984469    4
12.95817291    -0.113478736    -0.5329780857    0    12.1005512    4.619750348    4
13.16385819    -0.1138119527    -0.5384295063    0    12.00884566    4.624516226    4
13.36954348    -0.1141451693    -0.5438809269    0    11.91714013    4.629282105    4
13.57522876    -0.114478386    -0.5493323474    0    11.82543459    4.634047984    4
13.78091405    -0.1148116027    -0.554783768    0    11.73372905    4.638813862    4
13.98659933    -0.1151448194    -0.5602351886    0    11.64202352    4.643579741    4
14.19228462    -0.1154780361    -0.5656866091    0    11.55031798    4.648345619    4
14.3979699    -0.1155297635    -0.5696167582    0    11.46457943    4.649730205    4
14.60365518    -0.1146560109    -0.5685452723    0    11.39845914    4.639997779    4
14.80934047    -0.1137822582    -0.5674737864    0    11.33233884    4.630265353    4
15.01502575    -0.1129085056    -0.5664023005    0    11.26621855    4.620532928    4
15.22071104    -0.1120347529    -0.5653308146    0    11.20009826    4.610800502    4
15.42639632    -0.1111610003    -0.5642593288    0    11.13397796    4.601068077    4
15.63208161    -0.1102872476    -0.5631878429    0    11.06785767    4.591335651    4
15.83776689    -0.109413495    -0.562116357    0    11.00173738    4.581603225    4
16.04345217    -0.1085397424    -0.5610448711    0    10.93561708    4.5718708    4
16.24913746    -0.1076659897    -0.5599733852    0    10.86949679    4.562138374    4
16.45482274    -0.1067922371    -0.5589018993    0    10.80337649    4.552405948    4
16.66050803    -0.1059184844    -0.5578304135    0    10.7372562    4.542673523    4
16.86619331    -0.1050447318    -0.5567589276    0    10.67113591    4.532941097    4
17.0718786    -0.1041709791    -0.5556874417    0    10.60501561    4.523208671    4
17.27756388    -0.1032972265    -0.5546159558    0    10.53889532    4.513476246    4
17.48324916    -0.1024234739    -0.5535444699    0    10.47277502    4.50374382    4
17.68893445    -0.1015497212    -0.552472984    0    10.40665473    4.494011394    4
17.89461973    -0.1006759686    -0.5514014982    0    10.34053444    4.484278969    4
18.10030502    -0.09980221593    -0.5503300123    0    10.27441414    4.474546543    4
18.3059903    -0.09892846329    -0.5492585264    0    10.20829385    4.464814117    4
18.51167559    -0.09808911493    -0.54814823    0    10.14468571    4.454856049    4
18.71736087    -0.09733009901    -0.5469473129    0    10.08694333    4.444371117    4
18.92304615    -0.09657108308    -0.5457463958    0    10.02920095    4.433886184    4
19.12873144    -0.09581206716    -0.5445454787    0    9.971458565    4.423401251    4
19.33441672    -0.09505305124    -0.5433445616    0    9.913716184    4.412916318    4
19.54010201    -0.09429403531    -0.5421436445    0    9.855973803    4.402431386    4
19.74578729    -0.09353501939    -0.5409427274    0    9.798231421    4.391946453    4
19.95147258    -0.09277600347    -0.5397418102    0    9.74048904    4.38146152    4
20.15715786    -0.09201698754    -0.5385408931    0    9.682746659    4.370976587    4
20.36284314    -0.09125797162    -0.537339976    0    9.625004278    4.360491654    4
20.56852843    -0.0904989557    -0.5361390589    0    9.567261897    4.350006722    5
20.77421371    -0.08973993978    -0.5349381418    0    9.509519516    4.339521789    5
20.979899    -0.08898092385    -0.5337372247    0    9.451777135    4.329036856    5
21.18558428    -0.08822190793    -0.5325363076    0    9.394034754    4.318551923    5
21.39126957    -0.08746289201    -0.5313353905    0    9.336292373    4.30806699    5
21.59695485    -0.08670387608    -0.5301344734    0    9.278549992    4.297582058    5
21.80264013    -0.08594486016    -0.5289335563    0    9.220807611    4.287097125    5
22.00832542    -0.08518584424    -0.5277326391    0    9.16306523    4.276612192    5
22.2140107    -0.08442682831    -0.526531722    0    9.105322849    4.266127259    5
22.41969599    -0.08366781239    -0.5253308049    0    9.047580468    4.255642327    5
22.62538127    -0.08290651677    -0.5240492677    0    8.988643018    4.244550666    5
22.83106656    -0.08214128048    -0.5226283707    0    8.927639773    4.232410218    5
23.03675184    -0.08137604418    -0.5212074737    0    8.866636528    4.220269769    5
23.24243712    -0.08061080788    -0.5197865767    0    8.805633282    4.208129321    5
23.44812241    -0.07984557158    -0.5183656796    0    8.744630037    4.195988873    5
